"CP ITEM_NO","DIMENSIONS","QTY AVAIL"
"DAK1240","STEEL/*/*",2
"DAK1242","GREEN/*/*",2
"DAK1245","GREEN/*/*",3
"DAK1246","BLACK/L/*",1
"DAK1246","BLACK/M/*",3
"DAK1246","BLACK/S/*",2
"DAK1246","BLACK/XS/*",2
"DAK1247","BLACK/L/*",5
"DAK1247","BLACK/M/*",8
"DAK1247","BLACK/S/*",2
"DAK1247","BLACK/XS/*",2
"EMS001","DAYGLO/*/*",21
"EMS001","NEON GREEN/*/*",20
"FUR533","LIME/*/*",1
"FUR533","WHITE/*/*",1
"FUR534","DESERT/*/*",2
"FUR535","BLACK/*/*",1
"FUR535","MAROON/*/*",1
"FUR535","NAVY/*/*",2
"FUR535","ONYX/*/*",1
"FUR536","BLACK/*/*",1
"FUR536","RED/*/*",1
"FUR538","PURPLE/*/*",1
"FUR542","ROYAL/*/*",2
"FUR545","GRAY/*/*",1
"FUR546","RAINBOW VISION/*/*",1
"FUR548","PAWTRIOTIC/*/*",3
"FUR550","BLACK/*/*",1
"FUR550","PINK/*/*",1
"FUR553","WHITE/*/*",1
"FUR554","BLACK/*/*",1
"FUR555","PINK/*/*",1
"FUR555","TURQUOISE/*/*",2
"FUR557","BLACK/*/*",2
"FUR557","SILVER/*/*",1
"FUR558","GREEN/*/*",2
"FUR558","NAVY/*/*",2
"FUR563","NAVY/*/*",2
"FUR564","OREGANO/*/*",1
"FUR565","BLACK/*/*",3
"FUR565","HEARTFELT/*/*",4
"FUR565","NAVY/*/*",6
"FUR565","ROCKSTAR/*/*",3
"FUR565","SPARK/*/*",4
"FUR568","INCOGNITO/*/*",3
"FUR568","LUMBERJACK/*/*",2
"FUR568","POP PINK/*/*",5
"FUR569","BLACK/*/*",24
"FUR574","ICICLE/*/*",1
"FUR574","ROSEBUD/*/*",1
"FUR575","MINTY FRESH/*/*",1
"FUR575","SWEET PEACH/*/*",2
"FUR577","BLUE/*/*",2
"FUR577","JADE/*/*",1
"FUR578","RUSSETT/*/*",1
"FUR579","BLACK/*/*",1
"FUR580","BLACK/*/*",2
"FUR580","SILVER/*/*",1
"FUR581","SILVER/*/*",1
"FUR583","IVORY/*/*",2
"FUR583","NAVY/*/*",1
"FUR583","OLIVE/*/*",2
"FUR583","ORANGE/*/*",1
"FUR583","RED/*/*",4
"FUR584","EARTH/*/*",2
"FUR584","NAVY/*/*",2
"FUR584","ONYX/*/*",2
"FUR585","GRAY/*/*",2
"FUR586","BLACK/*/*",6
"FUR587","GRT BREXPECTATI/*/*",3
"FUR587","PLAIDAPUS/*/*",1
"FUR588","BLUE MOON/*/*",1
"FUR588","PINK MYSTIC/*/*",1
"FUR589","VIOLA/*/*",5
"FUR589","YUM YUM/*/*",6
"FUR590","GRAPE VINE/*/*",1
"FUR591","CLOUD 9/*/*",2
"FUR591","CUTENESSOVERLOD/*/*",1
"FUR591","ENCHANTMENT/*/*",3
"FUR591","JAH/*/*",1
"FUR591","SAY AH/*/*",3
"FUR592","BLACK/*/*",2
"FUR592","RED/*/*",1
"FUR593","STARS/*/*",3
"HO1814","4-8/65/*",1
"HO1828","YELLOW/10-14/*",1
"HO1859","BLK/PINK/L/*",1
"HO1864","NEON ORANGE/*/*",1
"HO1873","4.8/*/*",1
"HO1876","5.0/*/*",1
"HO1877","55/*/*",2
"HO1878","4.7/*/*",1
"HO1878","5.3/*/*",1
"KEE190","GARGOYLE/BRNTOR/10/*",2
"KEE190","GARGOYLE/BRNTOR/8/*",1
"KEE190","GARGOYLE/BRNTOR/9/*",1
"KEE190","GARGOYLE/BRNTOR/9.5/*",1
"KHL0596","CARBON/L/*",1
"KHL0596","CARBON/M/*",2
"KHL0596","OLIVE/L/*",1
"KHL0598","GRANITE/XXL/*",1
"BIL0314","BLACK/M/*",1
"BIL0317","MULTI/XS/*",2
"BIL0318","BLACK/XXL/*",1
"BIL0318","DRK GREY HETHER/S/*",1
"BIL0319","BLACK/M/*",1
"BIL0320","BLACK/XL/*",2
"BIL0322","MILITARY/S/*",1
"BIL0323","CRUSHED BERRY/M/*",1
"BIL0323","CRUSHED BERRY/S/*",1
"BIL0323","CRUSHED BERRY/XS/*",1
"BIL0324","NAVY BLAZER/M/*",1
"BIL0324","NAVY BLAZER/S/*",1
"BIL0325","AZTEC/M/*",1
"BIL0325","AZTEC/S/*",1
"BIL0325","AZTEC/XS/*",1
"BIL0325","NAVY BLAZER/S/*",1
"BIL0325","NAVY BLAZER/XS/*",1
"BIL0326","NAVY BLAZER/L/*",1
"BIL0326","NAVY BLAZER/S/*",1
"BIL0327","CALI BLUE HETHR/S/*",1
"BIL0328","ASPHALT HEATHER/M/*",1
"BIL0328","DARK DENIM/L/*",1
"BIL0328","DARK DENIM/M/*",1
"BIL0328","DARK DENIM/S/*",1
"CAS0150","WHITE-RED/L/XL/*",1
"CAS0151","WHITE/S/M/*",1
"DAK1180","BLACK/K-L/*",2
"DAK1181","BLACK/K-L/*",3
"DAK1181","BLACK/K-M/*",2
"DAK1181","BLACK/K-XL/*",3
"DAK1181","BROKEN STRIPE/K-L/*",1
"DAK1181","BROKEN STRIPE/K-M/*",1
"DAK1181","BROKEN STRIPE/K-XL/*",1
"DAK1182","MONSTERS/TD-M/*",1
"DAK1184","BEER RUN/ADJ/*",3
"DAK1185","BLACK/*/*",1
"DAK1192","STACKED/190CM/*",1
"DAK1193","GREEN/*/*",4
"DAK1194","GREEN/*/*",1
"DAK1199","BLACK/*/*",1
"DAK1199","CLEAR/*/*",2
"DAK1200","BEER RUN/*/*",4
"DAK1200","CLEAR/*/*",2
"DAK1201","CLEAR/*/*",2
"DAK1202","BLACK/CITRON/*/*",3
"DAK1202","CLEAR/*/*",5
"DAK1203","BLACK/*/*",2
"DAK1204","BLACK/*/*",1
"DAK1205","CARBON/XL/*",1
"DAK1206","BLACK/M/*",1
"DAK1206","BLACK/XL/*",1
"DAK1207","CARBON/M/*",1
"DAK1207","CARBON/S/*",1
"DAK1208","BLACK/XXL/*",2
"DAK1209","BLACK/S/*",1
"DAK1209","BLACK/XL/*",3
"DAK1209","BLACK/XXL/*",1
"DAK1209","CARBON/L/*",2
"DAK1209","CARBON/XL/*",2
"DAK1210","BLACK/L/*",2
"DAK1210","BLACK/M/*",2
"DAK1210","BLACK/S/*",2
"DAK1210","BLACK/XL/*",1
"DAK1211","BLACK/S/*",1
"DAK1211","BLACK/XL/*",1
"DAK1212","BLACK/M/*",1
"DAK1212","BLACK/S/*",3
"DAK1212","STONE/S/*",1
"DAK1213","LOUIF PARADIS/S/*",1
"DAK1215","BLACK/M/*",1
"DAK1215","BLACK/S/*",1
"DAK1215","BLACK/XL/*",1
"DAK1215","BLACK/XXL/*",1
"DAK1216","BLACK/L/*",1
"DAK1216","BLACK/M/*",3
"DAK1216","BLACK/XL/*",2
"DAK1216","BLACK/XXL/*",1
"DAK1217","BLACK/L/*",7
"DAK1217","BLACK/M/*",2
"DAK1217","BLACK/XL/*",2
"DAK1218","BLACK/L/*",2
"DAK1218","BLACK/M/*",1
"DAK1218","BLACK/S/*",1
"DAK1218","KIKI/L/*",1
"DAK1220","BLACK/L/*",5
"DAK1220","BLACK/M/*",4
"DAK1220","BLACK/S/*",5
"DAK1220","BLACK/XS/*",1
"DAK1221","BLACK/L/*",1
"DAK1221","BLACK/M/*",1
"DAK1222","BLACK/L/*",2
"DAK1222","BLACK/M/*",2
"DAK1223","BLACK/L/*",1
"DAK1224","TORY/L/*",2
"DAK1224","TORY/S/*",2
"DAK1225","BLACK/L/*",3
"DAK1225","BLACK/M/*",4
"DAK1225","BLACK/S/*",1
"DAK1225","BLACK/XS/*",2
"DAK1226","BLACK/M/*",2
"FUR210","NAVY/*/*",1
"FUR225","BARK AND STORMY/*/*",2
"FUR225","BLACK/*/*",1
"FUR225","PILLOW FIGHT CL/*/*",4
"FUR225","PINK PASSION/*/*",1
"FUR225","PLANET OF GRAPE/*/*",2
"FUR225","REAL TREE MAX 1/*/*",2
"GIR515","MATTE BLK/M/*",1
"GIR515","MATTE BLK/S/*",4
"GIR515","MATTE BLK/XL/*",6
"GIR516","MAT BLACK/L/*",1
"GIR516","MAT BLACK/S/*",1
"GIR516","MAT BRT GREEN/M/*",2
"GIR516","MAT DARK RED/L/*",1
"GIR516","MAT DARK RED/M/*",1
"GIR517","MAT DARK RED/L/*",1
"GIR517","MAT DARK RED/M/*",1
"GIR517","MT MIDNGT PEACH/S/*",1
"GIR518","MATTE BLK/S/*",1
"GIR519","MAT DUSTY PURPL/S/*",1
"GIR519","MATTE BLK/M/*",3
"GIR519","MATTE BLK/S/*",4
"GIR519","MATTE WHITE/M/*",1
"GIR519","MATTE WHITE/S/*",2
"GIR519","MT SCARLET PEAK/M/*",2
"GIR520","MATTE BLACK/M/*",1
"GIR520","MATTE BLACK/S/*",1
"GIR520","MATTE WHITE/M/*",1
"GIR521","MAT BRT RED/XS/*",1
"GIR521","MATT PURPLE/S/*",2
"GIR522","MAT BRT PINK/M/*",3
"GIR522","MAT BRT PINK/S/*",4
"GIR522","MAT BRT PINK/XS/*",3
"GIR522","MATT VERMILLION/M/*",4
"GIR522","MATT VERMILLION/S/*",2
"GIR522","MATTE BLACK/S/*",7
"GIR522","MATTE BLACK/XS/*",4
"GIR523","BLUE JEWEL/43/*",1
"GIR523","BLUE JEWEL/44/*",1
"GIR523","BLUE JEWEL/45/*",1
"GIR523","DRK SHADOW/RED/42/*",1
"GIR523","DRK SHADOW/RED/43/*",1
"GIR523","DRK SHADOW/RED/45/*",1
"GIR523","DRK SHADOW/RED/45.5/*",1
"HH0020","BLACK/L/*",1
"HH0020","BLACK/M/*",1
"HH0020","BLACK/S/*",1
"HH0021","BLUE HAZE/M/*",1
"HH0021","BLUE HAZE/S/*",1
"HH0021","BLUE HAZE/XS/*",1
"HMS020","RED/M/*",1
"KILT0023","DENIM BLUE/XXL/*",1
"KILT0024","DARK NAVY/M/*",1
"KILT0025","DARK NAVY/XXL/*",1
"KILT0026","NEON LIME/S/*",1
"KILT0026","NEON LIME/XL/*",1
"KILT0027","RED/L/*",2
"KILT0027","RED/M/*",1
"KILT0028","BLACK/L/*",1
"KILT0028","BLACK/M/*",1
"KILT0028","BLACK/XXL/*",1
"KILT0029","BLACK/L/*",1
"ARM262","RUST/100/*",1
"BIL2104","CLEAR WATER/M/*",1
"BIL2109","GERANIUM/M/*",1
"BIL2112","BLACK/L/*",1
"BIL2112","BLACK/M/*",1
"BIL2112","BLACK/S/*",1
"BIL2112","BLACK/XS/*",1
"BIL2119","BLACK/S/*",1
"BIL2133","WHITE/XL/*",1
"BS0002","BRIGHT GREEN/OSFA/*",1
"BS0002","BRIGHT ORANGE/OSFA/*",1
"BS0003","BACKWOODS/*/*",2
"BS0004","BLACK/*/*",2
"BS0004","BRIGHT GREEN/*/*",2
"BS0004","BRIGHT ORANGE/*/*",2
"BUFF0005","FUSION/OSFA/*",1
"BUFF0005","REFLECTION GREE/OSFA/*",1
"BUFF0005","SANTANA NAVY/OSFA/*",1
"BUFF0006","GREAT SMOKEY/OSFA/*",2
"BUFF0007","BASS IN PADS/OSFA/*",2
"BUFF0008","BROOKIE/OSFA/*",1
"BUFF0008","MOSAIC CAMO/OSFA/*",1
"BUFF0008","WARPAINT/OSFA/*",1
"BUFF0009","BANDANA CRU/OSFA/*",1
"BUFF0012","STELLAR BLUE/OSFA/*",1
"DYN0029","173/*/*",4
"DYN0029","180/*/*",2
"DYN0030","177/*/*",1
"DYN0031","159/*/*",1
"DYN0031","166/*/*",2
"DYN0031","173/*/*",1
"DYN0032","149/*/*",1
"DYN0032","156/*/*",2
"DYN0032","164/*/*",2
"DYN0033","160/*/*",1
