"ITEM_NO","LOC_ID","DIM_1_UPR","DIM_2_UPR","DIM_3_UPR","MIN_QTY","MAX_QTY","QTY_COMMIT","QTY_ON_HND","QTY_ON_PO","QTY_ON_BO","QTY_ON_XFER_OUT","QTY_ON_XFER_IN","QTY_ON_ORD","QTY_ON_LWY","QTY_ON_SO","LST_MAINT_DT","LST_MAINT_USR_ID","LST_LCK_DT","ROW_TS","NET_QTY","QTY_AVAIL","STK_STAT_PER_QTY_ON_HND","STK_STAT_PER_QTY_AVAIL","STK_STAT_PER_NET_QTY","REORD_PNT","EOQ","SFTY_STK","EOQ_CALC_ON","CELL_STAT","IS_ECOMM_ITEM_CELL","DROPSHIP_QTY_ON_CUST_ORD","DROPSHIP_QTY_ON_PO"
"686126","MAIN","MED","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:58.000 PM","AJ","","0x0000000011EE3936",0,0,"O","O","O",,,,"","A","",0,0
"686126","MAIN","SM","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:58.000 PM","AJ","","0x0000000011EE3937",0,0,"O","O","O",,,,"","A","",0,0
"686126","MAIN","XL","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:58.000 PM","AJ","","0x0000000011EE3938",0,0,"O","O","O",,,,"","A","",0,0
"686126","MAIN","XS","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:58.000 PM","AJ","","0x0000000011EE3939",0,0,"O","O","O",,,,"","A","",0,0
"686126","MAIN","XXL","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:58.000 PM","AJ","","0x0000000011EE393A",0,0,"O","O","O",,,,"","A","",0,0
"686126","MAIN","XXX","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:58.000 PM","AJ","","0x0000000011EE393B",0,0,"O","O","O",,,,"","A","",0,0
"686127","MAIN","LG","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:58.000 PM","AJ","","0x0000000011EE3949",0,0,"O","O","O",,,,"","A","",0,0
"686127","MAIN","MED","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:58.000 PM","AJ","","0x0000000011EE394A",0,0,"O","O","O",,,,"","A","",0,0
"686127","MAIN","SM","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:58.000 PM","AJ","","0x0000000011EE394B",0,0,"O","O","O",,,,"","A","",0,0
"686127","MAIN","XL","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:58.000 PM","AJ","","0x0000000011EE394C",0,0,"O","O","O",,,,"","A","",0,0
"686127","MAIN","XS","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:58.000 PM","AJ","","0x0000000011EE394D",0,0,"O","O","O",,,,"","A","",0,0
"686127","MAIN","XXL","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:58.000 PM","AJ","","0x0000000011EE394E",0,0,"O","O","O",,,,"","A","",0,0
"686127","MAIN","XXX","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:58.000 PM","AJ","","0x0000000011EE394F",0,0,"O","O","O",,,,"","A","",0,0
"686128","MAIN","LG","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:58.000 PM","AJ","","0x0000000011EE395D",0,0,"O","O","O",,,,"","A","",0,0
"686128","MAIN","MED","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:58.000 PM","AJ","","0x0000000011EE395E",0,0,"O","O","O",,,,"","A","",0,0
"686128","MAIN","SM","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:58.000 PM","AJ","","0x0000000011EE395F",0,0,"O","O","O",,,,"","A","",0,0
"686128","MAIN","XL","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:58.000 PM","AJ","","0x0000000011EE3960",0,0,"O","O","O",,,,"","A","",0,0
"686128","MAIN","XS","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:58.000 PM","AJ","","0x0000000011EE3961",0,0,"O","O","O",,,,"","A","",0,0
